Sample,Area (µm2),Mean
Smooth,2.32815,6878.5
Smooth,1.16408,6919
Smooth,1.16408,6658
Smooth,1.16408,5466
Smooth,2.32815,6100.5
Smooth,2.32815,5793
Smooth,3.49223,5844
Smooth,27.93785,6341.58333
Smooth,1.16408,5890
Smooth,1.16408,6152
Smooth,1.16408,6198
Smooth,8.14854,7406.85714
Smooth,37.25047,8948.5
Smooth,9.31262,6697
Smooth,2.32815,5810
Smooth,1.16408,5581
Smooth,4.65631,6582
Smooth,1.16408,5808
Smooth,1.16408,6436
Smooth,10.4767,6437.33333
Smooth,1.16408,5620
Smooth,1.16408,5605
Smooth,1.16408,5834
Smooth,1.16408,6154
Smooth,5.82039,9323.6
Smooth,1.16408,6725
Smooth,1.16408,7037
Smooth,3.49223,6452.33333
Smooth,1.16408,5560
Smooth,3.49223,5646.66667
Smooth,3.49223,6664
Smooth,4.65631,6530
Smooth,3.49223,5818
Smooth,2.32815,5800
Smooth,1.16408,5815
Smooth,3.49223,6914.66667
Smooth,1.16408,5557
Smooth,1.16408,6010
Smooth,3.49223,7412.33333
Smooth,2.32815,8203
Smooth,1.16408,5596
Smooth,2.32815,6765
Smooth,1.16408,5864
Smooth,1.16408,6021
Smooth,32.59416,7851.17857
Smooth,1.16408,5441
Smooth,1.16408,5656
Smooth,3.49223,7825
Smooth,1.16408,5807
Smooth,1.16408,6078
Smooth,22.11747,17566.42105
Smooth,15.133,6933.30769
Smooth,91.9621,8808.67089
Smooth,1.16408,6054
Smooth,123.39219,10375.64151
Smooth,119.89996,20840.69903
Smooth,6.98446,6147.66667
Smooth,1.16408,6218
Smooth,4.65631,7051
Smooth,2.32815,5729
Smooth,3.49223,6818.66667
Smooth,1.16408,6185
Smooth,1.16408,5723
Smooth,1.16408,6034
Smooth,1.16408,6109
Smooth,25.6097,9187.18182
Smooth,1.16408,5657
Smooth,1.16408,5798
Smooth,1.16408,5582
Smooth,25.6097,11112.63636
Smooth,13.96893,6102.41667
Smooth,1.16408,5439
Smooth,124.55626,16157.79439
Smooth,1.16408,6134
Smooth,1.16408,5542
Smooth,1.16408,5602
Smooth,1.16408,6177
Smooth,4.65631,7130.25
Smooth,2.32815,7331
Smooth,3.49223,5949
Smooth,2.32815,5878
Smooth,27.93785,10151.91667
Smooth,2.32815,6077
Smooth,1.16408,5438
Smooth,12.80485,11523.81818
Smooth,1.16408,5841
Smooth,12.80485,9433.09091
Smooth,34.92232,11210.36667
Smooth,1.16408,7066
Smooth,5.82039,7442.2
Smooth,1.16408,6062
Smooth,82.64948,16020.95775
Smooth,6.98446,7425.33333
Smooth,5.82039,6658.2
Smooth,1.16408,5609
Smooth,10.4767,6430.55556
Smooth,1.16408,5901
Smooth,4.65631,7036
Smooth,1.16408,5899
Smooth,2.32815,6817
Smooth,1.16408,5641
Smooth,1.16408,6305
Smooth,2.32815,6467
Smooth,1.16408,5645
Smooth,1.16408,6479
Smooth,1.16408,7575
Smooth,4.65631,7272
Smooth,1.16408,7517
Smooth,1.16408,5536
Smooth,6.98446,6990.66667
Smooth,4.65631,6687.75
Smooth,1.16408,6975
Smooth,1.16408,5558
Smooth,1.16408,6922
Smooth,5.82039,9804.2
Smooth,1.16408,5462
Smooth,1.16408,5515
Smooth,1.16408,6569
Smooth,8.14854,6806.42857
Smooth,3.49223,6084.66667
Smooth,1.16408,6400
Smooth,1.16408,6430
Smooth,3.49223,6957.33333
Smooth,1.16408,6638
Smooth,1.16408,5735
Smooth,1.16408,6290
Smooth,97.78249,15177.72619
Smooth,3.49223,8156
Smooth,1.16408,8979
Smooth,1.16408,6957
Smooth,1.16408,6574
Smooth,5.82039,7218.2
Smooth,2.32815,5989
Smooth,1.16408,5657
Smooth,1.16408,6645
Smooth,29.10193,8915.04
Smooth,5.82039,6720.6
Smooth,1.16408,5502
Smooth,5.82039,7203
Smooth,30.26601,11200.96154
Smooth,1.16408,5425
Smooth,13.96893,6728.5
Smooth,1.16408,6661
Smooth,3.49223,7615
Smooth,5.82039,6698.6
Smooth,1.16408,6378
Smooth,1.16408,5835
Smooth,1.16408,6410
Smooth,19.78931,9116.94118
Smooth,1.16408,5713
Smooth,4.65631,9972
Smooth,1.16408,5535
Smooth,1.16408,6772
Smooth,1.16408,6856
Smooth,2.32815,6263.5
Smooth,3.49223,7778.33333
Smooth,8.14854,6866
Smooth,3.49223,7775.66667
Smooth,2.32815,6003.5
Smooth,1.16408,5621
Smooth,16.29708,7034.71429
Smooth,8.14854,7344.85714
Smooth,4.65631,8310
Smooth,11.64077,8680.4
Smooth,9.31262,8192.125
Smooth,4.65631,6183.5
Smooth,12.80485,6500.18182
Smooth,1.16408,6872
Smooth,6.98446,6519.33333
Smooth,1.16408,6449
Smooth,2.32815,5752
Smooth,1.16408,6495
Smooth,3.49223,6346.33333
Smooth,62.86017,13132.35185
Smooth,1.16408,5786
Smooth,2.32815,5806.5
Smooth,6.98446,7485.66667
Smooth,3.49223,5766.66667
Smooth,1.16408,5481
Smooth,1.16408,5503
Smooth,1.16408,6261
Smooth,2.32815,6018.5
Smooth,1.16408,5454
Smooth,1.16408,5923
Smooth,1.16408,8123
Smooth,2.32815,7442
Smooth,1.16408,5565
Smooth,2.32815,5488.5
Smooth,1.16408,6854
Smooth,1.16408,9220
Smooth,1.16408,6002
Smooth,20.95339,7549.55556
Smooth,1.16408,5482
Smooth,1.16408,5788
Smooth,2.32815,5919.5
Smooth,1.16408,5671
Smooth,38.41455,9434.75758
Smooth,2.32815,5937
Smooth,3.49223,6511
Smooth,3.49223,6530.66667
Smooth,46.56309,8541.275
Smooth,8.14854,7357.28571
Smooth,1.16408,6003
Smooth,3.49223,8250
Smooth,1.16408,5906
Smooth,1.16408,5503
Smooth,1.16408,6006
Smooth,1.16408,5553
Smooth,1.16408,7533
Smooth,87.30579,18757.37333
Smooth,2.32815,6128.5
Smooth,1.16408,6558
Smooth,24.44562,9487.04762
Smooth,16.29708,7808.14286
Smooth,4.65631,7266.75
Smooth,1.16408,5710
Smooth,2.32815,6125.5
Smooth,1.16408,5703
Smooth,5.82039,6002
Smooth,2.32815,7049
Smooth,1.16408,5475
Smooth,1.16408,6192
Smooth,2.32815,6011.5
Smooth,76.8291,12418.09091
Smooth,2.32815,7521
Smooth,1.16408,5882
Smooth,3.49223,6655.66667
Smooth,1.16408,6096
Smooth,1.16408,5580
Smooth,1.16408,6409
Smooth,12.80485,7192.63636
Smooth,3.49223,5517
Smooth,4.65631,7079.75
Smooth,1.16408,5627
Smooth,1.16408,8117
Smooth,2.32815,7522.5
Smooth,1.16408,5494
Smooth,1.16408,5656
Smooth,2.32815,6358.5
Smooth,1.16408,5482
Smooth,1.16408,5654
Smooth,1.16408,5553
Smooth,1.16408,7246
Smooth,1.16408,5990
Smooth,68.68056,11213.77966
Smooth,1.16408,7030
Smooth,1.16408,6203
Smooth,1.16408,6292
Smooth,17.46116,7787.26667
Smooth,48.89124,9351.78571
Smooth,2.32815,7184
Smooth,3.49223,7118.33333
Smooth,2.32815,7648.5
Smooth,1.16408,6654
Smooth,3.49223,8919.66667
Smooth,10.4767,7143.77778
Smooth,1.16408,5614
Smooth,2.32815,5755.5
Smooth,95.45433,11830.52439
Smooth,1.16408,6234
Smooth,1.16408,5858
Smooth,27.93785,7469.54167
Smooth,2.32815,5747
Smooth,1.16408,5897
Smooth,38.41455,14551.72727
Smooth,10.4767,7662
Smooth,1.16408,5457
Smooth,1.16408,6461
Smooth,47.72717,10928.07317
Smooth,1.16408,6029
Smooth,75.66502,10606.84615
Smooth,13.96893,6720.33333
Smooth,16.29708,7098.85714
Smooth,1.16408,6022
Smooth,4.65631,5626.5
Smooth,1.16408,5499
Smooth,1.16408,5506
Smooth,1.16408,8223
Smooth,19.78931,9129.64706
Smooth,19.78931,9019.11765
Smooth,2.32815,6305.5
Smooth,1.16408,5467
Smooth,32.59416,9405.17857
Smooth,9.31262,7213.25
Smooth,2.32815,7078.5
Smooth,1.16408,5751
Smooth,1.16408,6614
Smooth,1.16408,5895
Smooth,8.14854,7526.42857
Smooth,6.98446,6695.83333
Smooth,1.16408,5446
Smooth,1.16408,5570
Smooth,3.49223,5731.33333
Smooth,1.16408,5826
Smooth,8.14854,7498.28571
Smooth,1.16408,5825
Smooth,2.32815,6836
Smooth,15.133,6638.84615
Smooth,2.32815,5631.5
Smooth,1.16408,8022
Smooth,3.49223,6972.66667
Smooth,1.16408,6002
Smooth,142.01742,14899.90984
Smooth,2.32815,5658.5
Smooth,46.56309,9858.025
Smooth,1.16408,6724
Smooth,4.65631,6090.5
Smooth,3.49223,7027.66667
Smooth,1.16408,7388
Smooth,1.16408,6102
Smooth,4.65631,7369.25
Smooth,3.49223,8102
Smooth,5.82039,5876.4
Smooth,1.16408,5702
Smooth,1.16408,5440
Smooth,2.32815,6567.5
Smooth,66.3524,14045.2807
Smooth,2.32815,6675
Smooth,1.16408,6112
Smooth,1.16408,7422
Smooth,2.32815,6782.5
Smooth,40.7427,9501.68571
Smooth,31.43009,9341.74074
Smooth,3.49223,6709.66667
Smooth,1.16408,5920
Smooth,1.16408,5435
Smooth,74.50094,8525.34375
Smooth,25.6097,10174.09091
Smooth,1.16408,6839
Smooth,1.16408,5566
Smooth,1.16408,6533
Smooth,2.32815,6016
Smooth,11.64077,7578.3
Smooth,1.16408,5642
Smooth,2.32815,6374.5
Smooth,25.6097,8374
Smooth,1.16408,7632
Smooth,1.16408,5823
Smooth,1.16408,6302
Smooth,3.49223,5681.66667
Smooth,2.32815,6662.5
Smooth,2.32815,6328.5
Smooth,2.32815,6600
Smooth,1.16408,5429
Smooth,15.133,7776.76923
Smooth,6.98446,6126.66667
Smooth,1.16408,5443
Smooth,20.95339,8832.16667
Smooth,19.78931,7096.82353
Smooth,5.82039,6035
Smooth,3.49223,6390
Smooth,2.32815,6302
Smooth,1.16408,6341
Smooth,2.32815,9990
Smooth,1.16408,6366
Smooth,1.16408,5995
Smooth,1.16408,5738
Smooth,8.14854,8115.85714
Smooth,1.16408,7280
Smooth,57.03978,8812.77551
Smooth,3.49223,6104.33333
Smooth,1.16408,5693
Smooth,1.16408,5485
Smooth,2.32815,6284
Smooth,1.16408,5711
Smooth,4.65631,7196
Smooth,104.76695,11738.68889
Smooth,1.16408,6515
Smooth,4.65631,7091.75
Smooth,3.49223,6498
Smooth,2.32815,6147
Smooth,1.16408,5450
Smooth,17.46116,8884.4
Smooth,1.16408,6340
Smooth,3.49223,6481.66667
Smooth,1.16408,5570
Smooth,3.49223,5794.33333
Smooth,1.16408,5438
Smooth,9.31262,6306.25
Smooth,1.16408,5824
Smooth,5.82039,5751.6
Smooth,2.32815,5700
Smooth,10.4767,9295.66667
Smooth,1.16408,5979
Smooth,1.16408,9097
Smooth,54.71163,9018.2766
Smooth,46.56309,11437.675
Smooth,4.65631,5990.75
